"","model","species","covariates","WAIC","WAIC_p.eff","DIC","DIC_p.eff","DIC_mean.deviance","DIC_deviance.mean","log.marginal.likelihood","RSS"
"stats","allVar","Long-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, built, water","2329.30246141771","7.13687950503032","2037.57504351131","-212.061074547909","2249.63611805922","2461.69719260712","-1322.31292253756","1780.42737941373"
"stats1","allVar","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, built, water","877.215782557739","314.969921273214","435.939753816829","129.640372280215","306.299381536615","176.6590092564","-151.416249585935","446.214381909972"
"stats2","allVar","Least weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, built, water","131.045898990448","9.81680169305244","12.7502474670895","-62.7704342072429","75.5206816743325","138.291115881575","-152.509874844702","89.9368037941832"
"stats3","'-tavg","Long-tailed weasel","Eastness, Northness, prec, elev, trees, grassland, cropland, built, water","2327.99935723498","8.37413181660204","2031.70855703386","-215.461280062083","2247.16983709594","2462.63111715802","-1328.40581183811","1781.55334250771"
"stats4","'-tavg","Short-tailed weasel","Eastness, Northness, prec, elev, trees, grassland, cropland, built, water","1843.28702985257","810.134845517821","522.8140894234","167.011014531974","355.803074891426","188.792060359451","-145.5634635408","483.779900278662"
"stats5","'-tavg","Least weasel","Eastness, Northness, prec, elev, trees, grassland, cropland, built, water","131.501635661486","10.1345674887893","9.62012786492994","-64.7825263886576","74.4026542535875","139.185180642245","-148.013129363935","88.9288046663754"
"stats6","'-prec","Long-tailed weasel","Eastness, Northness, tavg, elev, trees, grassland, cropland, built, water","2325.12353172935","8.33729486047322","2035.59289570298","-208.634262952228","2244.22715865521","2452.86142160744","-1321.54234972354","1773.88810433189"
"stats7","'-prec","Short-tailed weasel","Eastness, Northness, tavg, elev, trees, grassland, cropland, built, water","1415.87976511979","582.161329875538","563.774318797459","193.05800627068","370.716312526779","177.658306256099","-136.838060088845","503.238705985824"
"stats8","'-prec","Least weasel","Eastness, Northness, tavg, elev, trees, grassland, cropland, built, water","136.013080068738","11.1717441741476","6.89664236732258","-67.3059297704949","74.2025721378175","141.508501908312","-149.992399148545","88.7320770292185"
"stats9","'-elev","Long-tailed weasel","Eastness, Northness, tavg, prec, trees, grassland, cropland, built, water","2322.62164044066","6.61281950983939","2021.4452715193","-222.060710093631","2243.50598161293","2465.56669170656","-1319.98067084464","1772.5552673978"
"stats10","'-elev","Short-tailed weasel","Eastness, Northness, tavg, prec, trees, grassland, cropland, built, water","797.162052672028","283.525043985901","350.572648337972","85.5015187546699","265.071129583302","179.569610828632","-138.287083849219","394.76246222983"
"stats11","'-elev","Least weasel","Eastness, Northness, tavg, prec, trees, grassland, cropland, built, water","136.068774638189","12.7738010351009","10.6306104593171","-63.8931944698476","74.5238049291647","138.416999399012","-148.339916188013","89.0625889786273"
"stats12","'-trees","Long-tailed weasel","Eastness, Northness, tavg, prec, elev, grassland, cropland, built, water","2331.69713044906","7.34384305465052","2035.74570819137","-216.121983204767","2251.86769139614","2467.98967460091","-1324.17416614237","1775.5024910558"
"stats13","'-trees","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, grassland, cropland, built, water","1474.68655882254","616.33260840238","544.747135305012","183.954627348041","360.792507956971","176.83788060893","-138.801987805272","496.369080876053"
"stats14","'-trees","Least weasel","Eastness, Northness, tavg, prec, elev, grassland, cropland, built, water","117.808266478728","3.72955535025281","7.32101689250052","-65.5110062012977","72.8320230937982","138.343029295096","-148.93653215981","87.3488568267715"
"stats15","'-grassland","Long-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, cropland, built, water","2336.08649314916","7.65909978210028","2041.37181642319","-214.572245852324","2255.94406227551","2470.51630812783","-1323.9704880773","1778.1832992727"
