"","Estimate","sd","Lower","0.5quant","Upper","mode","kld","Model","Factor","Sig","starloc","Alpha","SigAlpha"
"Eastness...1",-1.004,0.166,-1.33,-1.004,-0.678,-1.004,17.871,"Long-tailed","Eastness","*",8,1,"1"
"Northness...2",-0.33,0.248,-0.817,-0.33,0.156,-0.33,4.05,"Long-tailed","Northness","",8,1,"0"
"tavg...3",-0.68,0.123,-0.915,-0.682,-0.432,-0.682,23.759,"Long-tailed","tavg","*",8,1,"1"
"prec...4",0.432,0.124,0.185,0.433,0.673,0.433,18.689,"Long-tailed","prec","*",8,1,"1"
"trees...5",3.857,1.467,0.98,3.857,6.732,3.857,5.602,"Long-tailed","trees","*",8,1,"1"
"grassland...6",2.07,0.722,0.654,2.07,3.485,2.07,3.235,"Long-tailed","grassland","*",8,1,"1"
"cropland...7",3.347,1.659,0.093,3.347,6.598,3.347,4.096,"Long-tailed","cropland","*",8,1,"1"
"built...8",1.211,0.403,0.42,1.211,2,1.211,3.703,"Long-tailed","built","*",8,1,"1"
"water...9",1.208,0.437,0.349,1.208,2.065,1.208,3.124,"Long-tailed","water","*",8,1,"1"
"Eastness...10",-4.712,1.119,-6.907,-4.712,-2.517,-4.712,9.992,"Short-tailed","Eastness","*",15,1,"1"
"Northness...11",3.782,1.485,0.874,3.78,6.7,3.78,5.361,"Short-tailed","Northness","*",15,1,"1"
"trees...12",-1.651,0.526,-2.685,-1.65,-0.623,-1.65,3.621,"Short-tailed","trees","*",15,1,"1"
"cropland...13",-4.112,1.562,-7.183,-4.11,-1.057,-4.109,6.173,"Short-tailed","cropland","*",15,1,"1"
"built...14",-0.525,0.47,-1.445,-0.525,0.396,-0.525,1.07,"Short-tailed","built","",15,1,"0"
"water...15",-48.971,14.655,-78.031,-48.862,-20.527,-48.86,655.526,"Short-tailed","water","*",15,1,"1"
"Northness...16",-1.081,0.576,-2.211,-1.081,0.049,-1.081,1.509,"Least","Northness","",1,1,"0"
"tavg...17",-0.35,0.225,-0.791,-0.35,0.09,-0.35,5.109,"Least","tavg","",1,1,"0"
"prec...18",-0.519,0.224,-0.96,-0.519,-0.079,-0.519,5.881,"Least","prec","*",1,1,"1"
"grassland...19",0.256,0.151,-0.041,0.256,0.553,0.256,11.152,"Least","grassland","",1,1,"0"
"cropland...20",-1.523,0.398,-2.303,-1.523,-0.743,-1.523,5.364,"Least","cropland","*",1,1,"1"
