dataSource,camera_site,deployment,date,time,date2,time2,species,dataNotes
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_20_10,OH_Forest_G_Cubed_Ranch_21_03 09/03/2021,10/12/2020,16:31,10/12/2020,16:31,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02,OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02 09/03/2021,9/18/2021,4:19,9/18/2021,4:19,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_04,OH_Forest_Huston-Brumbaugh Nature Center_21_loc_04 09/30/2021,10/10/2021,5:02,10/10/2021,5:03,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_10,OH_Forest_Huston-Brumbaugh Nature Center_21_loc_10 09/03/2021,9/23/2021,3:33,9/23/2021,3:33,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02,OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02 09/03/2021,9/25/2021,23:07,9/25/2021,23:07,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02,OH_Forest_HustonBrumbaughNatureCenter_2022_loc_02 08/30/2022,10/5/2022,2:21,10/5/2022,2:21,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02,OH_Forest_HustonBrumbaughNatureCenter_2022_loc_02 08/30/2022,9/20/2022,3:45,9/20/2022,3:45,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02,OH_Forest_HustonBrumbaughNatureCenter_2022_loc_02 08/30/2022,9/18/2022,2:04,9/18/2022,2:04,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02,OH_Forest_HBNC_Loc02 08/31/2023,10/15/2023,5:08,10/15/2023,5:08,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_02,OH_Forest_HBNC_Loc02 08/31/2023,10/22/2023,19:28,10/22/2023,19:28,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_04,OH_Forest_HBNC_Loc04 08/30/2023,9/7/2023,22:28,9/7/2023,22:28,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_04,OH_Forest_HBNC_Loc04 08/30/2023,9/7/2023,23:04,9/7/2023,23:04,Long-tailed weasel,
Snapshot USA (2019-2023),OH_Forest_Huston-Brumbaugh Nature Center_21_loc_04,OH_Forest_HBNC_Loc04 08/30/2023,10/9/2023,2:50,10/9/2023,2:50,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:16,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:26,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:26,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:26,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:26,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:26,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM2,NA,08/05/2019,19:26,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM3,NA,05/27/2019,19:59,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM3,NA,05/27/2019,19:59,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM3,NA,05/27/2019,19:59,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM3,NA,05/27/2019,19:59,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM3,NA,05/27/2019,19:59,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM3,NA,05/27/2019,20:00,NA,NA,Long-tailed weasel,
Ohio Small Mammals,FCM3,NA,05/27/2019,20:00,NA,NA,Long-tailed weasel,
