dataSource,dataSource_secondary,sourceID,species,dataType,date,time,latitude,longitude,positionalError_meters,specificGeography,dataNotes
ODNR (Diversity Database),NA,20133,Short-tailed weasel,Museum specimen,9/23/1988,NA,39.9614,-82.9992,S9,,
ODNR (Diversity Database),NA,5866,Short-tailed weasel,Museum specimen,11/1/1937,NA,41.5009,-81.4499,60.96,,
ODNR (Diversity Database),NA,9082,Short-tailed weasel,Museum specimen,2/13/1989,NA,41.5294,-81.3426,4828.03,,
ODNR (Diversity Database),NA,9984,Short-tailed weasel,Museum specimen,9/1/1993,NA,41.6074,-81.0506,1414.21,,
ODNR (Diversity Database),NA,19862,Short-tailed weasel,Museum specimen,6/26/1987,NA,41.4106,-80.9542,8046.72,,
ODNR (Diversity Database),NA,1455,Short-tailed weasel,Museum specimen,4/17/1964,NA,41.6783,-80.9542,1414.21,,
ODNR (Diversity Database),NA,1333,Short-tailed weasel,Museum specimen,8/13/1980,NA,41.6778,-80.856,4828.03,,
ODNR (Diversity Database),NA,19856,Short-tailed weasel,Museum specimen,8/16/1987,NA,41.4618,-80.8559,1609.34,,
ODNR (Diversity Database),NA,19857,Short-tailed weasel,Museum specimen,8/7/1987,NA,41.4618,-80.8559,4828.03,,
ODNR (Diversity Database),NA,774,Short-tailed weasel,Museum specimen,12/14/1980,NA,41.9477,-80.5542,1609.34,,
ODNR (Diversity Database),NA,1441,Short-tailed weasel,Museum specimen,8/27/1987,NA,41.6808,-80.5219,1609.34,,
ODNR (Diversity Database),NA,11035,Long-tailed weasel,Museum specimen,12/10/1939,NA,39.1575,-84.6136,4828.03,,
ODNR (Diversity Database),NA,16168,Long-tailed weasel,Museum specimen,NA,NA,39.6796,-84.4293,1414.21,,
ODNR (Diversity Database),NA,2287,Long-tailed weasel,Museum specimen,1/22/1921,NA,40.4387,-84.38,1414.21,,
ODNR (Diversity Database),NA,2293,Long-tailed weasel,Museum specimen,2/2/1921,NA,40.4387,-84.38,1414.21,,
ODNR (Diversity Database),NA,2294,Long-tailed weasel,Museum specimen,2/7/1921,NA,40.4387,-84.38,1414.21,,
ODNR (Diversity Database),NA,15643,Long-tailed weasel,Museum specimen,6/6/1968,NA,40.0519,-84.3608,4828.03,,
ODNR (Diversity Database),NA,15683,Long-tailed weasel,Museum specimen,6/25/1968,NA,40.0519,-84.3608,4828.03,,
ODNR (Diversity Database),NA,3217,Long-tailed weasel,Museum specimen,5/14/1969,NA,39.0286,-84.2181,1414.21,,
