dataSource,dataSource_secondary,sourceID,species,dataType,date,time,latitude,longitude,positionalError_meters,specificGeography,dataNotes
GBIF,UWYMV,897116625,Least weasel,Museum specimen,8/4/1966,NA,41.04417,-83.65,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701539,Long-tailed weasel,Museum specimen,1/18/1932,NA,40.85,-82.92,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701475,Long-tailed weasel,Museum specimen,2/2/1921,NA,40.56,-84.22,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701402,Long-tailed weasel,Museum specimen,1/22/1921,NA,40.56,-84.22,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701388,Long-tailed weasel,Museum specimen,2/7/1921,NA,40.56,-84.22,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701286,Least weasel,Museum specimen,1/31/1931,NA,38.83,-82.32,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701282,Least weasel,Museum specimen,2/1/1930,NA,39.75,-82.63,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701270,Least weasel,Museum specimen,1/2/1930,NA,41.47,-82.15,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701266,Least weasel,Museum specimen,4/10/1930,NA,39.2398,-83.2207,276.054,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701265,Least weasel,Museum specimen,3/21/1930,NA,40.28,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701224,Long-tailed weasel,Museum specimen,12/23/1929,NA,39.75,-82.63,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701177,Long-tailed weasel,Museum specimen,5/27/1927,NA,39.41,-83.81,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861701055,Least weasel,Museum specimen,4/18/1934,NA,39.75,-82.63,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700783,Least weasel,Museum specimen,11/22/1978,NA,41.13,-81.53,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700756,Long-tailed weasel,Museum specimen,7/11/1961,NA,40.53,-82.8,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700751,Long-tailed weasel,Museum specimen,8/14/1994,NA,40.09,-82.48,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700579,Least weasel,Museum specimen,8/7/1973,NA,40.77,-80.78,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700556,Long-tailed weasel,Museum specimen,NA,NA,40.2503,-83.0002,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700554,Long-tailed weasel,Museum specimen,10/1/1936,NA,41.36,-83.62,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700553,Least weasel,Museum specimen,2/4/1974,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700548,Least weasel,Museum specimen,2/4/1974,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700543,Long-tailed weasel,Museum specimen,4/1/1976,NA,40.59,-83.16,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700541,Least weasel,Museum specimen,1/7/1939,NA,40.23,-82.28,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700540,Least weasel,Museum specimen,3/5/1940,NA,41.36,-83.62,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700537,Least weasel,Museum specimen,8/7/1973,NA,40.77,-80.78,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700528,Least weasel,Museum specimen,1/7/1939,NA,40.33,-84.2,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700526,Least weasel,Museum specimen,1/11/1981,NA,39.73,-81.08,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861700510,Least weasel,Museum specimen,1/17/1939,NA,39.61,-81.85,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861699802,Long-tailed weasel,Museum specimen,3/8/1929,NA,39.75,-82.63,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861698329,Long-tailed weasel,Museum specimen,NA,NA,40.203,-82.6912,200000,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861698313,Long-tailed weasel,Museum specimen,6/19/1970,NA,40.14,-83.77,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861698285,Long-tailed weasel,Museum specimen,8/12/1974,NA,40.14,-83.77,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861698242,Long-tailed weasel,Museum specimen,12/1/1973,NA,40.23,-82.28,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861698232,Long-tailed weasel,Museum specimen,12/1/1973,NA,40.23,-82.28,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861698021,Least weasel,Museum specimen,12/8/1973,NA,39.33,-83.06,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861697621,Long-tailed weasel,Museum specimen,1/7/1926,NA,41.1814,-81.5843,3036,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861697139,Least weasel,Museum specimen,5/9/1970,NA,40.09,-82.48,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861697084,Least weasel,Museum specimen,1/20/1965,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696691,Long-tailed weasel,Museum specimen,5/14/1969,NA,39.05,-84.15,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696671,Least weasel,Museum specimen,11/1/1968,NA,40.56,-81.93,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696329,Long-tailed weasel,Museum specimen,7/9/1964,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696200,Least weasel,Museum specimen,2/19/1961,NA,40.28,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696160,Least weasel,Museum specimen,1/7/1950,NA,39.74,-82.24,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696130,Least weasel,Museum specimen,1/2/1960,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696091,Least weasel,Museum specimen,11/23/1958,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696080,Least weasel,Museum specimen,10/21/1958,NA,40.28,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696050,Least weasel,Museum specimen,11/25/1955,NA,40.09,-82.48,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696034,Least weasel,Museum specimen,10/18/1955,NA,40.28,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696019,Least weasel,Museum specimen,10/18/1955,NA,40.28,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861696004,Least weasel,Museum specimen,10/18/1955,NA,40.28,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695994,Least weasel,Museum specimen,2/21/1957,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695776,Least weasel,Museum specimen,3/3/1951,NA,40.23,-82.28,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695716,Least weasel,Museum specimen,11/29/1948,NA,40.56,-81.93,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695518,Least weasel,Museum specimen,2/22/1946,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695487,Least weasel,Museum specimen,12/12/1950,NA,39.75,-82.63,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695472,Least weasel,Museum specimen,NA,NA,40.203,-82.6912,200000,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695432,Least weasel,Museum specimen,10/25/1905,NA,41.17,-81.2,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695428,Least weasel,Museum specimen,1/8/1948,NA,40.23,-82.28,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695405,Long-tailed weasel,Museum specimen,5/26/1905,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695393,Long-tailed weasel,Museum specimen,5/26/1905,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695341,Least weasel,Museum specimen,NA,NA,41.1814,-81.5843,3036,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695340,Long-tailed weasel,Museum specimen,NA,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695301,Least weasel,Museum specimen,NA,NA,40.28,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695260,Long-tailed weasel,Museum specimen,5/26/1905,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695229,Long-tailed weasel,Museum specimen,5/26/1905,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695195,Least weasel,Museum specimen,NA,NA,41.1814,-81.5843,3036,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695192,Long-tailed weasel,Museum specimen,11/25/1901,NA,39.08,-83.07,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695155,Least weasel,Museum specimen,12/21/1939,NA,40.23,-82.28,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695136,Least weasel,Museum specimen,4/12/1905,NA,41.1814,-81.5843,3036,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695116,Long-tailed weasel,Museum specimen,7/20/1909,NA,41.1814,-81.5843,3036,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695097,Long-tailed weasel,Museum specimen,5/26/1905,NA,39.97,-83.01,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695094,Least weasel,Museum specimen,NA,NA,40.85,-82.92,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695092,Least weasel,Museum specimen,3/3/1939,NA,39.56,-83.45,0,,
GBIF,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",861695091,Long-tailed weasel,Museum specimen,1/4/1907,NA,41.13,-83.13,0,,
GBIF,KU,686479003,Least weasel,Museum specimen,9/17/1969,NA,39.4526935,-84.0103756,0,,
GBIF,TCWC,675881794,Long-tailed weasel,Museum specimen,NA,NA,41.805054,-80.948149,0,,
GBIF,TCWC,675863793,Long-tailed weasel,Museum specimen,11/1/1996,NA,41.805054,-80.948149,0,,
GBIF,FMNH,665802872,Least weasel,Museum specimen,1930,NA,41.296154,-83.592331,0,,
GBIF,FMNH,665802329,Least weasel,Museum specimen,1929,NA,41.503948,-84.416145,0,,
GBIF,FMNH,665722917,Long-tailed weasel,Museum specimen,1943,NA,41.663948,-83.555229,0,,
GBIF,FMNH,665716695,Least weasel,Museum specimen,1929,NA,41.558655,-83.73304,0,,
GBIF,CAS,583466090,Long-tailed weasel,Museum specimen,3/22/1940,NA,39.1832974,-84.5330899,0,,
GBIF,FHSM,48062088,Long-tailed weasel,Museum specimen,NA,NA,41.658516,-80.861877,0,,
GBIF,FHSM,48062011,Long-tailed weasel,Museum specimen,NA,NA,41.801941,-81.049171,0,,
GBIF,FHSM,48061911,Long-tailed weasel,Museum specimen,NA,NA,40.49889,-83.107223,0,,
GBIF,FHSM,48061910,Long-tailed weasel,Museum specimen,11/25/1977,NA,41.904034,-80.554443,0,,
GBIF,FHSM,48061857,Long-tailed weasel,Museum specimen,NA,NA,41.805,-80.948334,0,,
GBIF,FHSM,48061805,Long-tailed weasel,Museum specimen,NA,NA,41.836391,-81.04528,0,,
GBIF,FHSM,48061804,Long-tailed weasel,Museum specimen,1/1/1977,NA,41.535,-80.868332,0,,
GBIF,FHSM,48061803,Long-tailed weasel,Museum specimen,NA,NA,41.661671,-80.978332,0,,
GBIF,FHSM,48061802,Long-tailed weasel,Museum specimen,NA,NA,41.60667,-80.572502,0,,
GBIF,FHSM,48061801,Long-tailed weasel,Museum specimen,NA,NA,41.60667,-80.572502,0,,
GBIF,FHSM,48061786,Long-tailed weasel,Museum specimen,NA,NA,41.535,-80.868332,0,,
GBIF,FHSM,48061785,Long-tailed weasel,Museum specimen,12/1/1976,NA,41.890804,-80.598534,0,,
GBIF,FHSM,48061781,Long-tailed weasel,Museum specimen,12/18/1976,NA,41.499607,-80.918037,0,,
GBIF,FHSM,48061780,Long-tailed weasel,Museum specimen,12/11/1976,NA,41.805,-80.948334,0,,
GBIF,LSUMZ,45874804,Long-tailed weasel,Museum specimen,11/11/1969,NA,41.4549648,-83.7167699,0,,
GBIF,UMMZ,1987354600,Least weasel,Museum specimen,8/19/1932,NA,41.2360687,-81.1488954,0,,
GBIF,UMMZ,1987350017,Least weasel,Museum specimen,NA,NA,41.0441702,-83.6497674,0,,
GBIF,UMMZ,1987347193,Least weasel,Museum specimen,12/27/1929,NA,41.0166705,-83.6664679,0,,
GBIF,UMMZ,1987345900,Least weasel,Museum specimen,10/6/1932,NA,41.2360687,-81.1488954,0,,
